"","X1","station","index","bicycle_count","bus_count","car_count","filename","motorcycle_count","person_count","s3url","time","truck_count","camcode","year","month","day","date","Assets_All_Index","latitude","longitude","region","rotation","street_address","time_pacific","time_est"
"159",44048,NA,942184,0,0,0,"2020-12-20-11-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-20-11-22-42-enc_104_140_cam1.jpg",2020-12-20 11:22:42,0,NA,2020,12,20,"12/20/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-20 03:22:42,03:22:42
"160",44052,NA,858691,0,0,7,"2020-12-09-22-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-09-22-22-43-enc_104_140_cam1.jpg",2020-12-09 22:22:43,1,NA,2020,12,9,"12/9/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-09 14:22:43,14:22:43
"161",44055,NA,997620,0,0,0,"2020-12-27-11-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-27-11-22-42-enc_104_140_cam1.jpg",2020-12-27 11:22:42,0,NA,2020,12,27,"12/27/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-27 03:22:42,03:22:42
"162",44056,NA,921653,0,0,4,"2020-12-17-21-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-17-21-22-43-enc_104_140_cam1.jpg",2020-12-17 21:22:43,2,NA,2020,12,17,"12/17/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-17 13:22:43,13:22:43
"163",44057,NA,969595,0,1,10,"2020-12-23-22-22-42-enc_104_140_cam1.jpg",0,1,"out/2020-12-23-22-22-42-enc_104_140_cam1.jpg",2020-12-23 22:22:42,2,NA,2020,12,23,"12/23/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-23 14:22:42,14:22:42
"164",44058,NA,894876,0,0,1,"2020-12-14-12-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-14-12-22-42-enc_104_140_cam1.jpg",2020-12-14 12:22:42,0,NA,2020,12,14,"12/14/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-14 04:22:42,04:22:42
"165",44060,NA,910059,0,0,1,"2020-12-16-10-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-16-10-22-42-enc_104_140_cam1.jpg",2020-12-16 10:22:42,0,NA,2020,12,16,"12/16/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-16 02:22:42,02:22:42
"166",44062,NA,1023500,0,0,1,"2020-12-30-18-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-30-18-22-42-enc_104_140_cam1.jpg",2020-12-30 18:22:42,0,NA,2020,12,30,"12/30/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-30 10:22:42,10:22:42
"167",44063,NA,984120,0,0,0,"2020-12-25-18-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-25-18-22-42-enc_104_140_cam1.jpg",2020-12-25 18:22:42,0,NA,2020,12,25,"12/25/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-25 10:22:42,10:22:42
"168",44064,NA,974218,0,0,2,"2020-12-24-12-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-24-12-22-42-enc_104_140_cam1.jpg",2020-12-24 12:22:42,0,NA,2020,12,24,"12/24/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-24 04:22:42,04:22:42
"169",44066,NA,799805,0,0,0,"2020-12-02-12-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-02-12-22-43-enc_104_140_cam1.jpg",2020-12-02 12:22:43,0,NA,2020,12,2,"12/2/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-02 04:22:43,04:22:43
"170",44067,NA,847435,0,0,1,"2020-12-08-12-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-08-12-22-43-enc_104_140_cam1.jpg",2020-12-08 12:22:43,0,NA,2020,12,8,"12/8/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-08 04:22:43,04:22:43
"171",44071,NA,834853,0,0,5,"2020-12-06-22-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-06-22-22-42-enc_104_140_cam1.jpg",2020-12-06 22:22:42,0,NA,2020,12,6,"12/6/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-06 14:22:42,14:22:42
"172",44073,NA,968271,0,0,7,"2020-12-23-18-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-23-18-22-42-enc_104_140_cam1.jpg",2020-12-23 18:22:42,2,NA,2020,12,23,"12/23/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-23 10:22:42,10:22:42
"173",44075,NA,898186,0,0,7,"2020-12-14-22-22-42-enc_104_140_cam1.jpg",0,2,"out/2020-12-14-22-22-42-enc_104_140_cam1.jpg",2020-12-14 22:22:42,1,NA,2020,12,14,"12/14/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-14 14:22:42,14:22:42
"174",44076,NA,863925,0,0,6,"2020-12-10-14-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-10-14-22-43-enc_104_140_cam1.jpg",2020-12-10 14:22:43,0,NA,2020,12,10,"12/10/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-10 06:22:43,06:22:43
"175",44077,NA,816984,0,1,4,"2020-12-04-16-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-04-16-22-42-enc_104_140_cam1.jpg",2020-12-04 16:22:42,3,NA,2020,12,4,"12/4/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-04 08:22:42,08:22:42
